"Week","SNFG","Reference","Product","Sediaan","Unit of Measure","Scheduled Start Date","Scheduled Finished Date","State","Manufacturing Order","Manufacturing Order/Finished Product/Lot/Serial Number"
"3","REM-SBMW-W100ML/I0002","MO-REM-SBMW-BULK/I0005","[REM-SBMW-BULK] Seaweed Cleansing Micellar Water Bulk","L","kg","2023-01-18","2023-01-20","Done","MO/230003367","AJ18A"
"3","REM-SBMW-W100ML/I0003","MO-REM-SBMW-BULK/I0006","[REM-SBMW-BULK] Seaweed Cleansing Micellar Water Bulk","L","kg","2023-01-18","2023-01-20","Done","MO/230003370","AJ18B"
"3","REM-SBRMW-EM/I0001","MO-REM-SBRMW-BULK/I0001","[REM-SBRMW-BULK] Emina Skin Buddy Micellar Water Bulk","L","kg","2023-01-18","2023-01-23","Done","MO/230003365","AJ19A"
"3","S-USSEC-W/I0011","MO-S-USS-BULK/I0011","[S-USS-BULK] Wardah Hair Fall Treatment Shampoo Bulk","L","kg","2023-01-16","2023-01-19","Done","MO/230002529","AJ17A"
"3","S-USSEC-W/I0012","MO-S-USS-BULK/I0012","[S-USS-BULK] Wardah Hair Fall Treatment Shampoo Bulk","L","kg","2023-01-17","2023-01-20","Done","MO/230002530","AJ17B"
"3","SRM-RWSPTEN1-W/I0001","MO-SRM-RWSPTE-BULK/I0002","[SRM-RWSPTE-BULK] Wardah Crystal Secret Pure Treatment Essence","L","kg","2023-01-20","2023-01-24","Done","MO/230003383","AJ20A"
"3","HBW-HWN2-BD/I0001","MO-HBW-HW-BULK/I0001","[HBW-HW-BULK] Biodef Natural Protection Mint + Green Tea Hand Wash Antiseptik Alami","L","kg","2023-01-17","2023-01-20","Done","MO/230003176","AJ18A"
"3","HBW-R-KA/I0001","MO-HBW-R-BULK/I0001","[HBW-R-BULK] KAHF Relaxing and Acne Fight Body Wash","L","kg","2023-01-19","2023-01-23","Done","MO/230003382","AJ21A"
"3","HBW-R-KA/I0002","MO-HBW-R-BULK/I0002","[HBW-R-BULK] KAHF Relaxing and Acne Fight Body Wash","L","kg","2023-01-20","2023-01-24","Done","MO/230003384","AJ21B"
"3","S-USSEC-W/I0013","MO-S-USS-BULK/I0013","[S-USS-BULK] Wardah Hair Fall Treatment Shampoo Bulk","L","kg","2023-01-18","2023-01-21","Done","MO/230002531","AJ19A"
"3","S-USSEC-W/I0014","MO-S-USS-BULK/I0014","[S-USS-BULK] Wardah Hair Fall Treatment Shampoo Bulk","L","kg","2023-01-19","2023-01-23","Done","MO/230002532","AJ19B"
"3","BP-SJYBM-W100ML/I0002","MO-BP-SJYBM-BULK/I0002","[BP-SJYBM-BULK] Scentsation joyful body mist","L","kg","2023-01-18","2023-01-20","Done","MO/230003366","AJ18A"
"3","BP-SPRE-W35ML/I0002","MO-BP-SPRE-BULK/I0002","[BP-SPRE-BULK] Scentation Eau De Toilette Purity","L","kg","2023-01-18","2023-01-21","Done","MO/230003363","AJ19A"
"3","CUS-CLPGCB-W/I0002","MO-CUS-CLPGCB-BULK/I0002","[CUS-CLPGCB-BULK] Wardah Colorfit Perfect Glow Cushion 22N Light Ivory","L","kg","2023-01-16","2023-01-19","Done","MO/230002144","AJ17A"
"3","CUS-CLPGCE-W/I0001","MO-CUS-CLPGCE-BULK/I0001","[CUS-CLPGCE-BULK] Wardah Colorfit Perfect Glow Cushion 33W Olive Beige","L","kg","2023-01-17","2023-01-20","Done","MO/230002148","AJ17A"
"3","CUS-DM01-EM/I0001","MO-CUS-DM01-BULK/I0001","[CUS-DM01-BULK] EMINA Daily Matte Cushion C01 Light","L","kg","2023-01-17","2023-01-24","Done","MO/230002150","AJ18A"
"3","CUS-IPE-W/I0001","MO-CUS-IPE-BULK/I0001","[CUS-IPE-BULK] Instaperfect Skincover Air Cushion 43 Creme Sand","L","kg","2023-01-18","2023-01-21","Done","MO/230002478","AJ18A"
"3","D-RO-KA/I0005","MO-D-RO-BULK/I0005","[D-RO-BULK] Kahf Soothing Antiperspirant Deodorant Bulk","L","kg","2023-01-18","2023-01-20","Done","MO/230003368","AJ18A"
"3","EL-EXPELB-W/I0001","MO-EL-EXPELB-BULK/I0001","[EL-EXPELB-BULK] Wardah EYEXPERT Perfect Precision Liner","L","kg","2023-01-14","2023-01-24","Done","MO/230002111","AJ16A"
"3","F-LUC09-MO33ML/I0003","MO-F-LUC09-BULK/I0003","[F-LUC09-BULK] Ultracover Liquid Matt Foundation 09 Creme Rose","L","kg","2023-01-18","2023-01-23","Done","MO/230002479","AJ19A"
"3","FM-2IN1S-EM/I0001","MO-FM-2IN1S-BULK/I0001","[FM-2IN1S-BULK] 2in1 scrub mask","L","kg","2023-01-17","2023-01-19","Done","MO/230003174","AJ17A"
"3","FM-NDASR-W/I0001","MO-FM-NDASR-BULK/I0001","[FM-NDASR-BULK] Face Mask Nature Daily Alpine Apple Skin Bulk (Kg)","L","kg","2023-01-19","2023-01-23","Done","MO/230002496","AJ19A"
"3","FT-FT-OMG/I0006","MO-FT-FT-BULK/I0006","[FT-FT-BULK] OMG Oh My Glow Peach Glowing Toner","VL","kg","2023-01-13","2023-01-17","Done","MO/230002249","AJ13A"
"3","FT-FT-OMG/I0007","MO-FT-FT-BULK/I0007","[FT-FT-BULK] OMG Oh My Glow Peach Glowing Toner","VL","kg","2023-01-14","2023-01-18","Done","MO/230002250","AJ16A"
"3","FT-FT-OMG/I0008","MO-FT-FT-BULK/I0008","[FT-FT-BULK] OMG Oh My Glow Peach Glowing Toner","VL","kg","2023-01-16","2023-01-20","Done","MO/230002251","AJ17A"
"3","HBW-EB-KA/I0001","MO-HBW-EB-BULK/I0001","[HBW-EB-BULK] KAHF Cooling and Brightening Body Wash","L","kg","2023-01-18","2023-01-20","Done","MO/230003364","AJ18A"
"3","HBW-EB-KA/I0002","MO-HBW-EB-BULK/I0002","[HBW-EB-BULK] KAHF Cooling and Brightening Body Wash","L","kg","2023-01-18","2023-01-20","Done","MO/230003369","AJ18B"
"3","HBW-EB-KA/I0003","MO-HBW-EB-BULK/I0003","[HBW-EB-BULK] KAHF Cooling and Brightening Body Wash","L","kg","2023-01-18","2023-01-20","Done","MO/230003375","AJ19A"
"3","HC-P1A2-P200/I0001","MO-HC-A2-BULK/I0001","[HC-A2-BULK] Bulk Hair Conditioner Apple","L","kg","2023-01-14","2023-01-18","Done","MO/230002268","AJ14A"
"3","HC-P1A2-P450/I0001","MO-HC-A2-BULK/I0002","[HC-A2-BULK] Bulk Hair Conditioner Apple","L","kg","2023-01-16","2023-01-18","Done","MO/230002287","AJ14B"
