"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Operation Type","Manufacturing Order","State","Streamline","Unit of Measure"
"MY-TCR2E02-W/I0001","MY-TCR2E02-W/I0001","[MY-TCR2E02-W] Malaysia Wardah Exclusive Two Way Cake 02 Light Beige 12 g","J6","2023-02-02","2023-02-03","PTI: Jatake 6 - Kemas","MO/230004660","Confirmed","SL","Pc(s)"
"MY-TCR2E03-W/I0001","MY-TCR2E03-W/I0001","[MY-TCR2E03-W] Malaysia Wardah Exclusive Two Way Cake 03 Sandy Beige 12 g","J6","2023-02-02","2023-02-03","PTI: Jatake 6 - Kemas","MO/230004662","Confirmed","SL","Pc(s)"
"MY-TCR2E04-W/I0001","MY-TCR2E04-W/I0001","[MY-TCR2E04-W] Malaysia Wardah Exclusive Two Way Cake 04 Natural 12 g","J6","2023-02-03","2023-02-06","PTI: Jatake 6 - Kemas","MO/230004665","Confirmed","SL","Pc(s)"
"P-IPRB-W/I0001","P-IPRB-W/I0001","[P-IPRB-W] Instaperfect Daily Glam Essentials Kit","J6","2023-02-01","2023-02-02","PTI: Jatake 6 - Kemas","MO/230005017","Confirmed","SL","Pc(s)"
"TC-RR3LLF01-W/I0005","TC-RR3LLF01-W/I0005","[TC-RR3LLF01-W] Wardah Refill Lightening Powder Foundation Light Feel 01 Light Beige 12 g","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004497","Confirmed","A","Pc(s)"
"TC-RR3LLF01-W/I0005","MO-TC-R3LLF01-BULK/I0009","[TC-R3LLF01-BULK] Wardah Lightening Powder Foundation Light Feel 01 Light Beige","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005062","Confirmed","A","kg"
"TC-RR3LLF02-W/I0010","TC-RR3LLF02-W/I0010","[TC-RR3LLF02-W] Wardah Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004499","Confirmed","A","Pc(s)"
"TC-RR3LLF02-W/I0010","MO-TC-R3LLF02-BULK/I0027","[TC-R3LLF02-BULK] Wardah Lightening Powder Foundation Light Feel 02 Golden Beige","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005066","Confirmed","A","kg"
"TC-RR3LLF03-W/I0005","TC-RR3LLF03-W/I0005","[TC-RR3LLF03-W] Wardah Refill Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004501","Confirmed","A","Pc(s)"
"TC-RR3LLF03-W/I0005","MO-TC-R3LLF03-BULK/I0014","[TC-R3LLF03-BULK] Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005075","Confirmed","A","kg"
"TC-RR3LLF04-W/I0006","TC-RR3LLF04-W/I0006","[TC-RR3LLF04-W] Wardah Refill Lightening Powder Foundation Light Feel 04 Natural 12 g","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004502","Confirmed","A","Pc(s)"
"TC-RR3LLF05-W/I0005","TC-RR3LLF05-W/I0005","[TC-RR3LLF05-W] Wardah Refill Lightening Powder Foundation Light Feel 05 Beige 12 g","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004506","Confirmed","A","Pc(s)"
"TC-RR3LLF05-W/I0005","MO-TC-R3LLF05-BULK/I0007","[TC-R3LLF05-BULK] Wardah Lightening Powder Foundation Light Feel 05 Beige","P","2023-01-31","2023-02-03","PTI: Jatake 1 - Olah","MO/230005265","Confirmed","A","kg"
"TC-RR3LLF06-W/I0003","TC-RR3LLF06-W/I0003","[TC-RR3LLF06-W] Wardah Refill Lightening Powder Foundation Light Feel 06 Ivory 12 g","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004508","Confirmed","A","Pc(s)"
"TC-RR3LLF06-W/I0003","MO-TC-R3LLF06-BULK/I0004","[TC-R3LLF06-BULK] Wardah Lightening Powder Foundation Light Feel 06 Ivory","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005061","Confirmed","A","kg"
"TC-W3RELB2-W12G/I0005","TC-W3RELB2-W12G/I0005","[TC-W3RELB2-W12G] Wardah Refill Evd Lum Two Way Cake 02 Beige 12 g (Pc(s))","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004510","Confirmed","A","Pc(s)"
"TC-W3RELB2-W12G/I0005","MO-TC-W1C2-BULK/I0006","[TC-W1C2-BULK] Luminous Two Way Cake 02","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005072","Confirmed","A","kg"
"TC-W3RELI3-W12G/I0007","TC-W3RELI3-W12G/I0007","[TC-W3RELI3-W12G] Wardah Refill Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s))","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004512","Confirmed","A","Pc(s)"
"TC-PMC21-MO12G/I0005","TC-PMC21-MO12G/I0005","[TC-PMC21-MO12G] MAKE OVER Powerstay Matte Powder Foundation C21 Pink Ivory 12 g","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004514","Confirmed","A","Pc(s)"
"TC-PMC21-MO12G/I0005","MO-TC-PMC21-BULK/I0005","[TC-PMC21-BULK] Make Over Powerstay Matte Powder Foundation C21 Pink Ivory","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Olah","MO/230005074","Confirmed","A","kg"
"TC-PMC31-MO/I0002","TC-PMC31-MO/I0002","[TC-PMC31-MO] MAKE OVER Powerstay Matte Powder Foundation C31 Pink Beige 12 g","P","2023-01-30","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004516","Confirmed","A","Pc(s)"
