"id","name","origin","state"
"__export__.stock_picking_34858_af8da7ac","VCI/32251020018948","VCI#MO/220002624","Ready"
"__export__.stock_picking_38866_914e2c64","VCI/32351020021670","VCI#MO/220002625","Waiting"
"__export__.stock_picking_36061_f1b43ce1","VCI/32251020019735","VCI#MO/220002626","Ready"
"__export__.stock_picking_34861_87a469cf","VCI/32251020018951","VCI#MO/220002627","Ready"
"__export__.stock_picking_34862_21f0b34b","VCI/32251020018952","VCI#MO/220002628","Ready"
"__export__.stock_picking_38080_edd3e1a7","VCI/32251020021102","VCI#MO/220002636","Waiting"
"__export__.stock_picking_35633_ac22f4aa","VCI/32251020019453","VCI#MO/220002494","Waiting"
"__export__.stock_picking_37405_c233eb6c","VCI/32251020020573","VCI#MO/220002735","Ready"
"__export__.stock_picking_38093_013c60ed","VCI/32251020021113","VCI#MO/220002740","Waiting"
"__export__.stock_picking_38085_e74ac9cf","VCI/32251020021107","VCI#MO/220002761","Ready"
"__export__.stock_picking_37330_e5b24ed0","VCI/32251020020548","VCI#MO/220002767","Ready"
"__export__.stock_picking_38851_e8844af8","VCI/32351020021658","VCI#MO/220002770","Waiting"
"__export__.stock_picking_37334_50843385","VCI/32251020020552","VCI#MO/220002771","Ready"
"__export__.stock_picking_37475_f89198d5","VCI/32251020020639","VCI#MO/220002796","Ready"
"__export__.stock_picking_37477_c9520266","VCI/32251020020641","VCI#MO/220002798","Ready"
"__export__.stock_picking_37478_39911987","VCI/32251020020642","VCI#MO/220002799","Ready"
"__export__.stock_picking_37479_eb579ee4","VCI/32251020020643","VCI#MO/220002800","Ready"
"__export__.stock_picking_37480_8ac13128","VCI/32251020020644","VCI#MO/220002801","Ready"
"__export__.stock_picking_37482_20c4050a","VCI/32251020020646","VCI#MO/220002803","Ready"
"__export__.stock_picking_37481_86aaf72e","VCI/32251020020645","VCI#MO/220002802","Ready"
"__export__.stock_picking_37686_dcd9f1b7","VCI/32251020020798","VCI#MO/220002804","Ready"
"__export__.stock_picking_37894_0821b037","VCI/32251020020973","VCI#MO/220002806","Ready"
"__export__.stock_picking_38433_0bf1b778","VCI/32251020021337","VCI#MO/220002846","Ready"
"__export__.stock_picking_38434_3d83d8a5","VCI/32251020021338","VCI#MO/220002847","Ready"
"__export__.stock_picking_38435_0de4beb9","VCI/32251020021339","VCI#MO/220002848","Ready"
"__export__.stock_picking_38629_ce5db63b","VCI/32251020021492","VCI#MO/220002866","Ready"
"__export__.stock_picking_38772_db4ae383","VCI/32351020021595","VCI#MO/230000002","Ready"
"__export__.stock_picking_38773_e93cfc20","VCI/32351020021596","VCI#MO/230000003","Ready"
"__export__.stock_picking_39813_dd80d314","VCI/32351020022305","VCI#MO/220002849","Ready"
