Process code;Routing Type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Packing;Pressing code;Pressing ALT.;Pressing loss rate;Pressing production rate;Pressing production rate with change over;Efficiency of Pressing;Shieving code;Shieving ALT.;Shieving loss rate;Shieving production rate;Shieving production rate with change over;Efficiency of Shieving;Grinding code;Grinding ALT.;Grinding loss rate;Grinding production rate;Grinding production rate with change over;Efficiency of Grinding;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of Mixing;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of Weighing;Labelling line code;Labelling ALT;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of Labelling
SFGBulk;PR08;LAR-LICODDC-BULK;;;30;30;SECONDARY_LINE;;;;;;;;;;;;;;;;;;;;;;;;;PHS01;1;0;0.04;0.04;1;PWE02;1;0;2.4;2.4;1;;;;;;
SFGBulk;PR08;LAR-LICODDC-BULK;;;30;30;SECONDARY_LINE;;;;;;;;;;;;;;;;;;;;;;;;;PHS02;1;0;0.04;0.04;1;PWE02;1;0;2.4;2.4;1;;;;;;
SFGBulk;PR08;LAR-LICODDC-BULK;;;60;60;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;;;;;;;PHS01;1;0;0.04;0.04;1;PWE02;1;0;1.5;1.5;1;;;;;;
STD;PR01;MY-BDMCP01-EM;;B-DMCP01-BULK;60;60;NOMINAL_LINE;PNP01;1;0.0892;1680;1239.79;0.74;;;;;;;PMS01;1;0;1;1;1;PVT05;1;0;0.57;0.4;0.7;PSM04;1;0;0.33;0.25;0.75;PWE01;1;0;0.86;0.86;1;;;;;;
STD;PR01;MY-BDMCP02-EM;;B-DMCP02-BULK;60;60;NOMINAL_LINE;PNP01;1;0.0892;1680;1239.79;0.74;;;;;;;PMS01;1;0;1;1;1;PVT05;1;0;0.57;0.4;0.7;PSM04;1;0;0.33;0.25;0.75;PWE01;1;0;0.86;0.86;1;;;;;;
STD;PR01;MY-BDMCP03-EM;;B-DMCP03-BULK;60;60;NOMINAL_LINE;PNP01;1;0.0892;1680;1239.79;0.74;;;;;;;PMS01;1;0;1;1;1;PVT05;1;0;0.57;0.4;0.7;PSM04;1;0;0.33;0.25;0.75;PWE01;1;0;0.86;0.86;1;;;;;;
STD;PR01;MY-BDMCP04-EM;;B-DMCP04-BULK;60;60;NOMINAL_LINE;PNP01;1;0.0892;1680;1239.79;0.74;;;;;;;PMS01;1;0;1;1;1;PVT05;1;0;0.57;0.4;0.7;PSM04;1;0;0.33;0.25;0.75;PWE01;1;0;0.86;0.86;1;;;;;;
STD;PR01;MY-RAFP-W;;A-FPW3-BULK;60;60;NOMINAL_LINE;LPP02;1;0.008;960;740.91;0.77;;;;;;;RUSSEL02;1;0;1;1;1;PVT01;1;0;0.8;0.36;0.45;PSM01;1;0;0.4;0.29;0.71;PWE01;1;0;0.8;0.8;1;;;;;;
STD;PR01;MY-RBESFBBLP-W;;B-ESFBBLP-BULK;18;18;NOMINAL_LINE;LPP02;1;0.1;960;794.09;0.83;;;;;;;RUSSEL02;1;0;1;1;1;PVT06;1;0;0.33;0.27;0.8;PSM06;1;0;0.36;0.27;0.73;PWE01;1;0;1.5;1.5;1;;;;;;
STD;PR01;MY-RBESFBBLP-W;;B-ESFBBLP-BULK;40;40;SECONDARY_LINE;LPP02;1;0.1576;960;794.09;0.83;;;;;;;PMS01;1;0;1;1;1;PVT01;1;0;0.67;0.44;0.67;PSM11;1;0;0.4;0.31;0.77;PWE01;1;0;1.2;1.2;1;;;;;;
STD;PR01;MY-RTCRE01-W;;TC-PC02-BULK;20;20;NOMINAL_LINE;PNP02;1;0.136;1680;742.09;0.44;;;;;;;RUSSEL01;1;0;1;1;1;PVT07;1;0;0.5;0.36;0.73;PSM07;1;0;0.5;0.33;0.67;PWE01;1;0;1.09;1.09;1;;;;;;
STD;PR01;MY-RTCRE02-W;;TC-PC08-BULK;20;20;NOMINAL_LINE;PNP02;1;0.136;1680;742.09;0.44;;;;;;;RUSSEL01;1;0;1;1;1;PVT08;1;0;0.5;0.36;0.73;PSM08;1;0;0.5;0.33;0.67;PWE01;1;0;1.09;1.09;1;;;;;;
STD;PR01;MY-RTCRE03-W;;TC-PC03-BULK;20;20;NOMINAL_LINE;PNP02;1;0.154;1680;733.37;0.44;;;;;;;RUSSEL01;1;0;1;1;1;PVT07;1;0;0.5;0.36;0.73;PSM07;1;0;0.5;0.33;0.67;PWE01;1;0;1;1;1;;;;;;
STD;PR01;MY-RTCRE04-W;;TC-PC04-BULK;20;20;NOMINAL_LINE;PNP02;1;0.118;1680;750.64;0.45;;;;;;;RUSSEL01;1;0;1;1;1;PVT08;1;0;0.5;0.36;0.73;PSM08;1;0;0.5;0.33;0.67;PWE01;1;0;1;1;1;;;;;;
STD;PR01;MY-RTCRE05-W;;TC-PC05-BULK;10;10;NOMINAL_LINE;PNP02;1;0.1;1680;490.27;0.29;;;;;;;RUSSEL01;1;0;1;1;1;PVT07;1;0;0.5;0.36;0.73;PSM07;1;0;0.5;0.33;0.67;PWE01;1;0;1.09;1.09;1;;;;;;
STD;PR01;MY-TCR3LLF02-W;;TC-R3LLF02-BULK;40;40;NOMINAL_LINE;PNP01;1;0.1252;3000;1478.7;0.49;;;;;;;RUSSEL01;1;0;1;1;1;PAP01;1;0;0.5;0.36;0.73;PSM11;1;0;0.33;0.25;0.75;PWE01;1;0;1.2;1.2;1;;;;;;
STD;PR01;MY-TCR3LLF03-W;;TC-R3LLF03-BULK;60;60;NOMINAL_LINE;PNP01;1;0.1216;3000;1747.02;0.58;;;;;;;RUSSEL01;1;0;1;1;1;PVT05;1;0;0.44;0.33;0.75;PSM04;1;0;0.33;0.25;0.75;PWE01;1;0;1.33;1.33;1;;;;;;
STD;PR01;MY-TCR3LLF06-W;;TC-R3LLF06-BULK;10;20;NOMINAL_LINE;PNP01;1;0.136;1800;514.29;0.29;;;;;;;RUSSEL01;1;0;1;1;1;PVT06;1;0;0.67;0.44;0.67;PSM06;1;0;0.44;0.31;0.69;PWE01;1;0;1.33;1.33;1;;;;;;
STD;PR01;MY-TCR3LLF07-W;;TC-R3LLF07-BULK;10;10;NOMINAL_LINE;PNP01;1;0.136;1800;514.29;0.29;;;;;;;RUSSEL01;1;0;1;1;1;PVT06;1;0;0.67;0.44;0.67;PSM06;1;0;0.44;0.31;0.69;PWE01;1;0;1.33;1.33;1;;;;;;
SFGPack;PR16;PPUF-LBCPR-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PLB01;1;0;1560;999.37;0.64
STD;PR01;TC-CPLS01-W;;TC-CPLS01-BULK;20;20;NOMINAL_LINE;PNP04;1;0.0784;900;405.28;0.45;;;;;;;RUSSEL01;1;0;1;1;1;PVT08;1;0;0.5;0.36;0.73;PSM08;1;0;0.44;0.31;0.69;PWE01;1;0;1;1;1;;;;;;
