Code/Header;Type;Component code;Type;Coefficient;UOM of Header;UOM of Component;Loos%;No.;Start date;End date
B-PMT-MO11G;FG;CONT-PMTPR0-MOPSNF;PM;1;Pc(s);Pc(s);0.02995391705;199;;
B-PMT-MO11G;FG;DUS-PMTPR0-MOILD;PM;1;Pc(s);Pc(s);0.02995391705;200;;
B-PMT-MO11G;FG;KB-MOBOPR1-MO;PM;0.0238;Pc(s);Pc(s);0.02995391705;201;;
B-PMT-MO11G;FG;SHIF-CPMTPR0-MOLDPE;PM;1;Pc(s);Pc(s);0.02995391705;202;;
B-PMT-MO11G;FG;STIC-BTPMTPR0-MOPPWD;PM;1;Pc(s);Pc(s);0.02995391705;203;;
B-PT01-MO35G;FG;CAP-CMOFP014-ASABS;PM;1;Pc(s);Pc(s);0.02977487291;204;;
B-PT01-MO35G;FG;CONT-MOFP01R1AS-C2PP;PM;1;Pc(s);Pc(s);0.02977487291;205;;
B-PT01-MO35G;FG;DUS-SSTPR2-MO;PM;1;Pc(s);Pc(s);0.02977487291;206;;
B-PT01-MO35G;FG;DUS-SSTPR3-MO;PM;1;Pc(s);Pc(s);0.02977487291;206;;
B-PT01-MO35G;FG;KB-MOEBPR1-MO;PM;0.02941;Pc(s);Pc(s);0.02977487291;207;;
B-PT01-MO35G;FG;SHIF-CMOFP014-PPN;PM;1;Pc(s);Pc(s);0.02977487291;208;;
B-PT01-MO35G;FG;STIC-BCSSTP01R1-MO;PM;1;Pc(s);Pc(s);0.02977487291;209;;
B-PT01-MO35G;FG;STIC-BSSTP1RR2-MO;PM;1;Pc(s);Pc(s);0.02977487291;210;;
B-PT02-MO35G;FG;CAP-CMOFP014-ASABS;PM;1;Pc(s);Pc(s);0.02978406552;211;;
B-PT02-MO35G;FG;CONT-MOFP01R1AS-C2PP;PM;1;Pc(s);Pc(s);0.02978406552;212;;
B-PT02-MO35G;FG;DUS-SSTPR2-MO;PM;1;Pc(s);Pc(s);0.02978406552;213;;
B-PT02-MO35G;FG;DUS-SSTPR3-MO;PM;1;Pc(s);Pc(s);0.02978406552;213;;
B-PT02-MO35G;FG;KB-MOEBPR1-MO;PM;0.02941;Pc(s);Pc(s);0.02978406552;214;;
B-PT02-MO35G;FG;SHIF-CMOFP014-PPN;PM;1;Pc(s);Pc(s);0.02978406552;215;;
B-PT02-MO35G;FG;STIC-BCSSTP02R1-MO;PM;1;Pc(s);Pc(s);0.02978406552;216;;
B-PT02-MO35G;FG;STIC-BSSTP2RR2-MO;PM;1;Pc(s);Pc(s);0.02978406552;217;;
B-PT03-MO35G;FG;CAP-CMOFP014-ASABS;PM;1;Pc(s);Pc(s);0.03039215686;218;;
B-PT03-MO35G;FG;CONT-MOFP01R1AS-C2PP;PM;1;Pc(s);Pc(s);0.03039215686;219;;
B-PT03-MO35G;FG;DUS-SSTPR2-MO;PM;1;Pc(s);Pc(s);0.03039215686;220;;
B-PT03-MO35G;FG;DUS-SSTPR3-MO;PM;1;Pc(s);Pc(s);0.03039215686;220;;
B-PT03-MO35G;FG;KB-MOEBPR1-MO;PM;0.02941;Pc(s);Pc(s);0.03039215686;221;;
B-PT03-MO35G;FG;SHIF-CMOFP014-PPN;PM;1;Pc(s);Pc(s);0.03039215686;222;;
B-PT03-MO35G;FG;STIC-BCSSTP03R1-MO;PM;1;Pc(s);Pc(s);0.03039215686;223;;
B-PT03-MO35G;FG;STIC-BSSTP3RR2-MO;PM;1;Pc(s);Pc(s);0.03039215686;224;;
B-PT04-MO35G;FG;CAP-CMOFP014-ASABS;PM;1;Pc(s);Pc(s);0.03003754693;225;;
B-PT04-MO35G;FG;CONT-MOFP01R1AS-C2PP;PM;1;Pc(s);Pc(s);0.03003754693;226;;
B-PT04-MO35G;FG;DUS-SSTPR2-MO;PM;1;Pc(s);Pc(s);0.03003754693;227;;
B-PT04-MO35G;FG;DUS-SSTPR3-MO;PM;1;Pc(s);Pc(s);0.03003754693;227;;
B-PT04-MO35G;FG;KB-MOEBPR1-MO;PM;0.02941;Pc(s);Pc(s);0.03003754693;228;;
B-PT04-MO35G;FG;SHIF-CMOFP014-PPN;PM;1;Pc(s);Pc(s);0.03003754693;229;;
B-PT04-MO35G;FG;STIC-BCSSTP04R1-MO;PM;1;Pc(s);Pc(s);0.03003754693;230;;
B-PT04-MO35G;FG;STIC-BSSTP4RR2-MO;PM;1;Pc(s);Pc(s);0.03003754693;231;;
B-PT05-MO35G;FG;CAP-CMOFP014-ASABS;PM;1;Pc(s);Pc(s);0.03003754693;232;;
B-PT05-MO35G;FG;CONT-MOFP01R1AS-C2PP;PM;1;Pc(s);Pc(s);0.03003754693;233;;
B-PT05-MO35G;FG;DUS-SSTPR2-MO;PM;1;Pc(s);Pc(s);0.03003754693;234;;
B-PT05-MO35G;FG;DUS-SSTPR3-MO;PM;1;Pc(s);Pc(s);0.03003754693;234;;
