SKU code;Supplier code;Percentage;Supplier lead time;QC lead time;MOQ;Lot size;Supplier description;No;Material start date;Material end date
STIC-VDMCW03R0-E;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6949;202232;
STIC-VDMCW04R0-E;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6950;202232;
STIC-VEIML01R0-IP;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6951;202228;
STIC-VEIML02R0-IP;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6952;202228;
STIC-VEIML03R0-IP;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6953;202228;
STIC-VEIML04R0-IP;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6954;202228;
STIC-VEIML05R0-IP;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6955;202228;
STIC-VEIML06R0-IP;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6956;202228;
STIC-VEIML07R0-IP;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6957;202228;
STIC-VEIML08R0-IP;2200161;1;3;2;3000;100;EXPRESS GRAFIKA, PT;6958;202228;
STIC-VGLHT401R0-MO;2200066;1;3;2;7000;100;PELITA ABADI JAYA, CV;6959;202137;
STIC-VGLHT402R0-MO;2200066;1;3;2;7000;100;PELITA ABADI JAYA, CV;6960;202137;
STIC-VGLHT403R0-MO;2200066;1;3;2;7000;100;PELITA ABADI JAYA, CV;6961;202137;
STIC-VGLHT404R0-MO;2200066;1;3;2;7000;100;PELITA ABADI JAYA, CV;6962;202137;
STIC-VGLHT405R0-MO;2200066;1;3;2;7000;100;PELITA ABADI JAYA, CV;6963;202137;
STIC-VHGCC21R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6964;202104;
STIC-VHGCC21R1-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6965;202136;
STIC-VHGCC31R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6966;202136;
STIC-VHGCC41R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6967;202136;
STIC-VHGCC51R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6968;202136;
STIC-VHGCC62R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6969;202136;
STIC-VHGCN10R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6970;202104;
STIC-VHGCN10R1-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6971;202136;
STIC-VHGCN20R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6972;202136;
STIC-VHGCN30R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6973;202104;
STIC-VHGCN30R1-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6974;202136;
STIC-VHGCN40R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6975;202136;
STIC-VHGCN50R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6976;202104;
STIC-VHGCN50R1-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6977;202136;
STIC-VHGCW12R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6978;202136;
STIC-VHGCW21R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6979;202136;
STIC-VHGCW22R1-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6980;202136;
STIC-VHGCW30R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6981;202136;
STIC-VHGCW32R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6982;202136;
STIC-VHGCW33R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6983;202104;
STIC-VHGCW33R1-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6984;202136;
STIC-VHGCW41R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6985;202104;
STIC-VHGCW41R1-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6986;202136;
STIC-VHGCW42R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6987;202104;
STIC-VHGCW42R1-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6988;202136;
STIC-VHGCW50R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6989;202136;
STIC-VHGCW60R0-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6990;202136;
STIC-VHGFFW33-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6991;202108;
STIC-VHGFFW41-MO;2200066;1;3;2;3000;100;PELITA ABADI JAYA, CV;6992;202108;
STIC-VHGFFW42-MO;2200066;1;2;2;3000;100;PELITA ABADI JAYA, CV;6993;202108;
STIC-VHGFHLMR0-IP;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6994;202206;
STIC-VHGFHLRR0-IP;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6995;202206;
STIC-VHSLWC03R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6996;202104;
STIC-VHSLWC04R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6997;202104;
STIC-VHSLWC06R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6998;202104;
STIC-VHSLWC07R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;6999;202104;
STIC-VHSLWC08R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7000;202104;
STIC-VHSLWC09R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7001;202104;
STIC-VHSLWC10R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7002;202104;
STIC-VHSLWC11R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7003;202104;
STIC-VHSLWC12R0-MO;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7004;202104;
STIC-VIEIML1R0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;7005;202203;
STIC-VIEIML2R0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;7006;202203;
STIC-VIEIML3R0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;7007;202203;
STIC-VIEIML4R0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;7008;202104;
STIC-VIEIML5R0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;7009;202203;
STIC-VIEIML6R0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;7010;202203;
STIC-VIEIML7R0-W;2200055;1;2;2;10000;100;MITRA ABADI PRINTING;7011;202203;
STIC-VIEIML8R0-W;2200055;1;3;2;10000;100;MITRA ABADI PRINTING;7012;202217;
STIC-VILSLS01R0-W;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7013;202132;
STIC-VILSLS02R0-W;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7014;202134;
STIC-VILSLS03R0-W;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7015;202132;
STIC-VILSLS04R0-W;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7016;202134;
STIC-VILSLS05R0-W;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7017;202134;
STIC-VILSLS06R0-W;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7018;202134;
STIC-VLLF01LB6R0-W;2200066;1;3;2;20000;100;PELITA ABADI JAYA, CV;7019;202136;
STIC-VLLF02B6R0-W;2200066;1;3;2;20000;100;PELITA ABADI JAYA, CV;7020;202136;
STIC-VLLF03I6R0-W;2200066;1;3;2;20000;100;PELITA ABADI JAYA, CV;7021;202136;
STIC-VLLF04N6R0-W;2200066;1;3;2;20000;100;PELITA ABADI JAYA, CV;7022;202136;
STIC-VMFPFR11R0-IP;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7023;202226;
STIC-VMFPFR22R0-IP;2200066;1;3;2;5000;100;PELITA ABADI JAYA, CV;7024;202226;
