Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Pressing code;Pressing ALT.;Pressing loss rate;Pressing production rate;Pressing production rate with change over;Efficiency of Pressing;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing
SFGPack;SR12;DUSS-CADLP15R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;478.76;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP15R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;478.76;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP16R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;478.13;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP16R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;478.13;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-CADLP17R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;478.92;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-EMLC01H-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;360;358.27;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-EMLC02H-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;360;358.27;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-EMLC03H-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;360;358.27;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-EMLC04H-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;360;358.27;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-EMLC05H-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;360;358.27;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-EMLC06H-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;360;358.27;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-EMLC07H-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;360;358.27;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-EMLC08H-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;360;358.27;1;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;DUSS-EMLC09H-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;360;358.27;1;;;;;;;;;;;;;;;;;;;;;;;;
