Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing;flag item;flag bulk;flag refill
SFGPack;LR13;BOTP-HSNANB200R2-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HSNANB450R2-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL03;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HSNASH200R2-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HSNASH450R2-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL01;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HSNASH450R2-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL03;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTGIN200RE-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL01;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTGIN200RE-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL03;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTGIN200RE-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL04;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTGIN450RE-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTGIN450RE-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL03;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTNK450REV-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTNK450REV-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL02;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTNKREV120-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTNTOH200R-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTNTOH450R-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL02;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTNTOH450R-P;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL03;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTSL450REV-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL02;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTSLEREV14-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL02;1;0;330;330;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTSPAL2REV-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-HTSPALREV1-P;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;MPL01;1;0;510;510;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS01R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LSDP02;1;0;1954.2;1954.2;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS01R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL01;1;0;1954.2;1954.2;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS02R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LSDP02;1;0;1954.2;1954.2;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS02R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL01;1;0;1954.2;1954.2;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS03R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LSDP02;1;0;258;258;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS03R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL01;1;0;258;258;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS04R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;LSDP02;1;0;258;258;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
SFGPack;LR13;BOTP-ILSLS04R0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;MPL01;1;0;258;258;1;;;;;;;;;;;;;;;;;;;;;;;;;Pc(s);;
