"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","ES-SGS12GRNFS-MO","1.0","Pc(s)"
"","STIC-BTESLAR1-MOMSF","1.0","Pc(s)"
"","CONT-ESLB3MOASA-2PSC","1.0","Pc(s)"
"","ES-SGPL2GRNFS-MO","1.0","Pc(s)"
"","KUAS-ESMO2KSNBR-THG","1.0","Pc(s)"
"","KB-MOTWC3252-K150M12","0.02778","Pc(s)"
"","STIC-VTESLSR0-MO","1.0","Pc(s)"
"","DUS-TESR2-MO","1.0","Pc(s)"
"","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"HBW-ETBWBN2-W","HBW-ETBWB-BULK","0.45","kg"
"","PU-LED28BR0-W","1.0","Pc(s)"
"","STIC-FMSBW450R0-ELL","1.0","Pc(s)"
"","STIC-BMSBW450R0-ELL","1.0","Pc(s)"
"","BOTO-PETE450-ELL","1.0","Pc(s)"
"","KB-WBETAR1-W","0.0769231","Pc(s)"
"MY-RTCRE04-W","TC-PC04-BULK","0.012","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","CONT-ETWCRLR0-WASBS","1.0","Pc(s)"
"","PUFF-TWCNBRR1-W","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","STIC-BTETC4R0-WRL","1.0","Pc(s)"
"","DUS-ETWC4R3-W","1.0","Pc(s)"
"","STIC-PAEBR1-WM","1.0","Pc(s)"
"","KB-W12X250R1-W","0.03333","Pc(s)"
"ES-PRPCB-EM3.3GR","ES-W0I02RNFS1,3-W","1.0","Pc(s)"
"","ES-TQ-RP-W1,3GR","1.0","Pc(s)"
"","ES-W0I01RNFS1,3-W","1.0","Pc(s)"
"","CONT-ESPR-ESAN","1.0","Pc(s)"
"","KUAS-ESSNBRWP2K-BT","1.0","Pc(s)"
"","PLAS-DMESBOR0-E","1.0","Pc(s)"
"","STIC-BOTESC-ECNF","1.0","Pc(s)"
"","DUS-PRPESC-EILD","1.0","Pc(s)"
"","KB-EBR1-KMK125CF","0.00793","Pc(s)"
"L-PVW02-MO","L-PVW02-BULK","0.0055","kg"
"","BOTO-PVLSR0-MO","1.0","Pc(s)"
"","STIC-BTPVLS2R0-MO","1.0","Pc(s)"
"","CAPA-WPVLSR0-MO","1.0","Pc(s)"
"","DUS-PVLSPUR2-MO","1.0","Pc(s)"
"","STIC-VPVLS2R1-MO","1.0","Pc(s)"
"","IBOX-12BR0-MO","0.08333","Pc(s)"
"","KB-MOBOPR1-MO","0.00694","Pc(s)"
"MY-CUSIPA-W","CUS-IPA-W","1.0","Pc(s)"
"","STIC-PALLCR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"L-PVW08-MO","L-PVW08-BULK","0.0055","kg"
"","BOTO-PVLSR0-MO","1.0","Pc(s)"
"","CAPA-WPVLSR0-MO","1.0","Pc(s)"
"","STIC-BTPVLS8R0-MO","1.0","Pc(s)"
"","DUS-PVLSPUR2-MO","1.0","Pc(s)"
"","STIC-VPVLS8R1-MO","1.0","Pc(s)"
"","IBOX-12BR0-MO","0.08333","Pc(s)"
"","KB-MOBOPR1-MO","0.00694","Pc(s)"
