"External ID","Product/Product/Internal Reference","Product/Product/Display Name","BoM Lines/Product/Display Name","BoM Lines/Quantity","BoM Lines/Product Unit of Measure/Display Name","Reference","Main"
"","","","[STIC-BMKLC09R0-OMG] Sticker Bottom Matte KLC 09 OMG,PET Silver Bright,1W,d=14mm,NoFinishing","1.0","pc(s)","",""
"__export__.mrp_bom_244_4922fc49","L-TMLCI-OMG","[L-TMLCI-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 09 Charm 3.5 g","[L-MLCI-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm","3.5","g","2","True"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC09R2-OMG] Sticker Bottom Matte KLC 09 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_160_874156a8","80050","[80050] OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural","[80090] OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural","1.0","Pc(s)","2","False"
"__export__.mrp_bom_245_5f7b856e","L-TMLCJ-OMG","[L-TMLCJ-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 10 Shell 3.5 g","[L-MLCJ-BULK] Oh My Glam Matte Kiss Lip Cream 10 Shell","3.5","g","2","True"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC10R2-OMG] Sticker Bottom Matte KLC 10 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_246_70710aa5","L-TMLCL-OMG","[L-TMLCL-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 12 Scarlet 3.5 g","[L-MLCL-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet","3.5","g","2","True"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC12R2-OMG] Sticker Bottom Matte KLC 12 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_247_78bb06d1","L-TMLCK-OMG","[L-TMLCK-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 11 Bumble 3.5 g","[L-MLCK-BULK] Oh My Glam Matte Kiss Lip Cream 11 Bumble","3.5","g","2","True"
"","","","[CAPA-MKLCR0-OMG] Cap+Applicator+Wiper Matte KLC OMG,LC-002,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,InjectionBlack,NoFinishing","1.0","pc(s)","",""
"","","","[BOTO-MKLCR0-OMG] Bottle Matte KLC OMG,LC-002,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","pc(s)","",""
"","","","[STIC-BMKLC11R2-OMG] Sticker Bottom Matte KLC 11 R2 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_248_9831050d","L-TMLCM-OMG","[L-TMLCM-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 13 Latte 3.5 g","[L-MLCM-BULK] OMG Oh My Glam Matte Kiss Lip Cream 13 Latte","3.5","g","1","True"
"","","","[BOTO-MKLCCEKIMR0-OMG] Bottle Matte KLC Coffee Edition OMG,KIM,8007,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","Pc(s)","",""
"","","","[CAPA-MKLCCEKIMR0-OMG] Cap+Applicator+Wiper Matte KLC Coffee Edition OMG,KIM,8007,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,Cap:Injection Brown, Rod:InjectionBlack,NoFinishing","1.0","Pc(s)","",""
"","","","[STIC-BMKLCCE13R0-OMG] Sticker Bottom Matte KLC Coffee Edition 13 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_249_6f6fa013","L-TMLCN-OMG","[L-TMLCN-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 14 Cappuccino 3.5 g","[L-MLCN-BULK] OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino","3.5","g","1","True"
"","","","[BOTO-MKLCCEKIMR0-OMG] Bottle Matte KLC Coffee Edition OMG,KIM,8007,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","Pc(s)","",""
"","","","[CAPA-MKLCCEKIMR0-OMG] Cap+Applicator+Wiper Matte KLC Coffee Edition OMG,KIM,8007,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,Cap:Injection Brown, Rod:InjectionBlack,NoFinishing","1.0","Pc(s)","",""
"","","","[STIC-BMKLCCE14R0-OMG] Sticker Bottom Matte KLC Coffee Edition 14 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_250_5171b370","L-TMLCO-OMG","[L-TMLCO-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 15 Espresso 3.5 g","[L-MLCO-BULK] OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso","3.5","g","1","True"
"","","","[BOTO-MKLCCEKIMR0-OMG] Bottle Matte KLC Coffee Edition OMG,KIM,8007,AS,Injection Clear,1PassPrinting,NoFinishing","1.0","Pc(s)","",""
"","","","[CAPA-MKLCCEKIMR0-OMG] Cap+Applicator+Wiper Matte KLC Coffee Edition OMG,KIM,8007,Cap:ABS/AS-ABS,Applicator:PP+FlockTip,Wiper:LDPE,Cap:Injection Brown, Rod:InjectionBlack,NoFinishing","1.0","Pc(s)","",""
"","","","[STIC-BMKLCCE15R0-OMG] Sticker Bottom Matte KLC Coffee Edition 15 OMG,PP Silver Bright,1W,d=12mm,NoFinishing","1.0","Pc(s)","",""
"__export__.mrp_bom_172_67711656","T80010","[T80010] OMG OH MY GLAM Tester Matte Kiss Lip Cream 01-15 52.5 g","[L-TMLCA-OMG] OMG OH MY GLAM Tester Matte Kiss Lip Cream 01 Dreamy 3.5 g","1.0","pc(s)","1","True"
